id,age,income,category,purchase_date,age_group
4,32,92680,Groceries,2023-06-27,19-35
6,25,36970,Furniture,2024-12-08,19-35
13,28,38702,Toys,2024-07-26,19-35
14,28,30384,Clothing,2024-07-26,19-35
20,20,48384,Toys,2024-08-20,19-35
23,19,110642,Electronics,2024-09-01,19-35
28,19,40916,Furniture,2024-05-31,19-35
32,29,43456,Clothing,2023-02-26,19-35
44,33,66187,Toys,2024-10-11,19-35
45,32,37239,Electronics,2024-09-02,19-35
55,20,54285,Electronics,2023-03-09,19-35
58,24,118464,Electronics,2024-01-11,19-35
60,26,49198,Toys,2023-03-20,19-35
62,35,45254,Clothing,2024-09-19,19-35
63,21,74238,Clothing,2024-08-26,19-35
66,31,107709,Clothing,2023-02-27,19-35
69,26,89494,Electronics,2023-03-07,19-35
72,19,108587,Furniture,2023-04-07,19-35
77,24,55934,Clothing,2024-08-23,19-35
80,25,105745,Toys,2024-03-02,19-35
83,31,86800,Furniture,2024-05-18,19-35
84,34,72318,Toys,2023-09-25,19-35
88,21,73088,Furniture,2024-04-20,19-35
89,19,69811,Electronics,2023-10-24,19-35
91,23,115392,Clothing,2024-04-29,19-35
94,21,85123,Toys,2024-07-20,19-35
97,35,35569,Electronics,2023-04-14,19-35
101,27,75002,Furniture,2024-03-29,19-35
104,31,54214,Groceries,2024-01-22,19-35
107,32,36090,Toys,2024-09-17,19-35
108,25,41637,Clothing,2023-02-09,19-35
109,31,52415,Clothing,2024-04-30,19-35
116,33,105697,Clothing,2024-09-04,19-35
118,35,41314,Furniture,2024-01-01,19-35
130,32,111818,Toys,2023-09-17,19-35
134,24,52574,Clothing,2023-09-04,19-35
135,26,35240,Electronics,2024-10-01,19-35
139,25,49262,Clothing,2023-07-15,19-35
141,28,34432,Clothing,2024-01-17,19-35
143,34,109104,Clothing,2023-08-15,19-35
144,25,89399,Clothing,2024-12-01,19-35
149,22,112558,Clothing,2024-04-30,19-35
155,24,74247,Groceries,2024-01-30,19-35
156,26,46748,Electronics,2024-03-25,19-35
157,25,34621,Furniture,2023-12-30,19-35
158,29,45034,Clothing,2024-04-01,19-35
177,31,86793,Clothing,2023-03-16,19-35
178,20,77915,Furniture,2023-10-06,19-35
180,22,33596,Groceries,2024-10-23,19-35
183,31,103794,Toys,2024-10-12,19-35
186,26,36371,Clothing,2023-09-29,19-35
187,32,56069,Furniture,2023-03-07,19-35
188,32,109905,Clothing,2024-04-27,19-35
192,30,111264,Electronics,2024-03-29,19-35
200,21,78447,Toys,2024-05-30,19-35
206,32,58024,Toys,2023-11-09,19-35
210,30,101158,Toys,2024-04-04,19-35
212,24,57139,Toys,2024-07-04,19-35
217,19,115655,Clothing,2024-10-07,19-35
223,23,39111,Electronics,2023-12-20,19-35
231,28,114471,Furniture,2024-10-20,19-35
245,30,75587,Clothing,2023-10-02,19-35
247,20,97584,Toys,2023-10-11,19-35
249,23,72533,Toys,2023-11-23,19-35
250,25,31828,Clothing,2024-12-18,19-35
252,26,50618,Toys,2023-03-14,19-35
260,32,39865,Clothing,2024-11-06,19-35
273,29,113524,Electronics,2024-12-08,19-35
276,19,72929,Groceries,2024-09-28,19-35
277,20,97444,Electronics,2024-09-13,19-35
282,34,103698,Electronics,2024-11-25,19-35
285,19,73925,Electronics,2023-03-03,19-35
286,19,35951,Groceries,2024-03-07,19-35
296,19,53930,Furniture,2023-10-31,19-35
301,23,112985,Furniture,2023-11-20,19-35
304,21,89207,Electronics,2024-12-28,19-35
306,28,59287,Groceries,2023-03-06,19-35
309,34,103340,Clothing,2023-12-09,19-35
312,22,117062,Toys,2023-11-28,19-35
315,23,49096,Electronics,2023-06-23,19-35
317,28,64016,Electronics,2024-06-10,19-35
319,33,75558,Toys,2023-01-26,19-35
321,26,66455,Furniture,2024-02-10,19-35
324,23,97506,Clothing,2024-07-03,19-35
325,33,71157,Electronics,2024-05-19,19-35
327,20,113122,Groceries,2023-06-28,19-35
334,20,89379,Electronics,2024-08-01,19-35
338,24,81356,Groceries,2023-12-13,19-35
344,35,112870,Furniture,2024-10-26,19-35
347,28,49029,Groceries,2023-09-19,19-35
357,24,94435,Groceries,2024-09-12,19-35
359,33,50103,Clothing,2023-05-22,19-35
366,19,69666,Toys,2023-10-29,19-35
370,29,44153,Clothing,2024-02-08,19-35
371,22,106325,Clothing,2024-08-24,19-35
376,26,32443,Electronics,2023-12-29,19-35
381,33,45328,Electronics,2024-07-06,19-35
382,20,86942,Clothing,2024-06-12,19-35
390,28,83028,Groceries,2024-10-20,19-35
392,25,82329,Furniture,2023-05-07,19-35
405,35,66244,Clothing,2023-08-28,19-35
407,35,77523,Groceries,2024-08-24,19-35
408,19,49256,Toys,2023-04-13,19-35
411,33,69282,Toys,2024-06-03,19-35
416,21,105060,Furniture,2024-03-06,19-35
418,31,69224,Clothing,2024-11-19,19-35
423,25,79688,Furniture,2024-09-30,19-35
