id,age,income,category,purchase_date,age_group
1,56,92292,Toys,2024-03-20,51+
2,69,53833,Electronics,2024-02-29,51+
5,60,50309,Groceries,2024-09-20,51+
7,78,102474,Clothing,2024-05-04,51+
9,56,76540,Furniture,2024-08-20,51+
10,75,50384,Groceries,2023-10-16,51+
16,70,70943,Toys,2023-01-28,51+
17,53,77926,Electronics,2023-02-12,51+
18,57,59189,Electronics,2024-11-11,51+
22,70,39860,Electronics,2024-06-12,51+
25,61,53574,Groceries,2023-07-17,51+
27,55,99172,Clothing,2024-07-30,51+
29,77,34809,Groceries,2024-05-28,51+
33,75,86397,Clothing,2023-03-07,51+
35,78,64816,Groceries,2023-05-24,51+
36,61,75106,Electronics,2024-03-10,51+
38,66,47100,Toys,2024-11-09,51+
40,76,51949,Furniture,2024-08-10,51+
41,59,100080,Furniture,2023-12-10,51+
43,77,75543,Electronics,2024-07-24,51+
46,79,44489,Toys,2024-12-04,51+
47,79,88017,Toys,2023-08-31,51+
48,64,91877,Electronics,2024-07-14,51+
49,79,73125,Clothing,2023-02-01,51+
50,68,79922,Clothing,2024-01-26,51+
51,61,62049,Toys,2023-10-04,51+
52,72,67131,Electronics,2024-06-15,51+
53,69,72944,Clothing,2023-06-03,51+
54,74,103963,Electronics,2024-01-18,51+
56,54,67626,Electronics,2023-08-02,51+
57,68,72808,Groceries,2024-10-16,51+
61,56,49758,Clothing,2024-12-26,51+
65,77,69764,Clothing,2024-11-10,51+
67,67,67441,Clothing,2023-01-26,51+
68,75,83682,Toys,2024-03-22,51+
71,70,95215,Groceries,2023-02-13,51+
75,64,103553,Electronics,2024-11-09,51+
76,77,36941,Electronics,2024-03-11,51+
78,61,53386,Toys,2024-01-14,51+
79,78,91886,Clothing,2023-06-27,51+
81,64,113251,Toys,2024-12-09,51+
82,52,83413,Furniture,2023-11-03,51+
85,53,100173,Toys,2024-08-08,51+
86,67,100390,Clothing,2023-01-08,51+
87,57,82329,Clothing,2024-05-22,51+
90,79,85479,Toys,2023-06-13,51+
92,71,117369,Furniture,2024-08-19,51+
93,59,49963,Clothing,2023-03-13,51+
95,71,103477,Toys,2024-07-12,51+
99,61,66586,Furniture,2024-07-07,51+
100,51,42015,Clothing,2024-04-12,51+
102,79,36254,Toys,2023-09-25,51+
103,53,47144,Groceries,2024-01-21,51+
106,65,101774,Furniture,2023-10-10,51+
111,77,88243,Groceries,2023-05-09,51+
112,74,71240,Electronics,2024-06-03,51+
113,79,113807,Furniture,2024-09-04,51+
114,57,63434,Furniture,2024-11-18,51+
117,62,58732,Furniture,2023-09-17,51+
119,64,53954,Groceries,2024-06-27,51+
120,70,87108,Groceries,2024-10-10,51+
124,77,53061,Groceries,2024-07-28,51+
125,77,109252,Clothing,2023-04-19,51+
126,77,69749,Groceries,2024-06-16,51+
127,62,46907,Toys,2024-10-31,51+
128,58,48777,Groceries,2023-09-26,51+
131,62,53624,Toys,2023-04-12,51+
138,61,85645,Toys,2023-12-19,51+
142,68,94291,Toys,2024-10-06,51+
145,52,109714,Toys,2024-04-20,51+
146,52,80428,Clothing,2024-04-21,51+
148,76,30302,Furniture,2024-01-07,51+
150,59,30055,Groceries,2024-03-09,51+
151,56,38717,Toys,2024-10-07,51+
152,75,58699,Furniture,2023-07-30,51+
153,58,103686,Groceries,2024-07-25,51+
159,51,35126,Toys,2024-12-25,51+
161,65,48030,Toys,2023-08-14,51+
162,72,112838,Clothing,2023-05-11,51+
164,79,85658,Groceries,2024-04-20,51+
166,54,97067,Electronics,2023-06-05,51+
167,52,118869,Toys,2023-08-06,51+
168,61,64674,Groceries,2023-07-09,51+
169,57,65854,Electronics,2024-02-21,51+
172,52,68518,Electronics,2024-06-29,51+
174,52,31062,Electronics,2023-11-03,51+
175,54,80448,Electronics,2023-12-04,51+
176,64,36229,Toys,2023-11-10,51+
182,72,37561,Toys,2024-09-11,51+
184,56,112152,Groceries,2023-10-16,51+
190,59,103479,Clothing,2023-06-05,51+
191,77,107735,Toys,2023-02-16,51+
193,68,53275,Electronics,2023-07-20,51+
195,56,111449,Toys,2023-05-04,51+
196,66,90004,Furniture,2023-01-01,51+
197,69,92981,Toys,2024-10-01,51+
198,78,114659,Electronics,2023-07-10,51+
202,54,105703,Electronics,2023-05-23,51+
204,56,47260,Groceries,2024-06-16,51+
205,62,33812,Groceries,2023-08-15,51+
207,60,88656,Groceries,2024-09-20,51+
209,53,31605,Electronics,2024-10-15,51+
213,76,107149,Furniture,2024-01-28,51+
214,68,86138,Groceries,2023-07-26,51+
218,59,57446,Electronics,2023-09-08,51+
219,62,43046,Groceries,2023-08-07,51+
220,79,54818,Toys,2024-02-11,51+
221,74,34324,Clothing,2024-03-18,51+
222,70,106323,Groceries,2024-08-25,51+
226,61,71427,Groceries,2023-05-22,51+
227,61,109579,Furniture,2024-09-03,51+
230,79,30117,Electronics,2024-06-30,51+
232,75,43234,Toys,2024-06-25,51+
233,72,83441,Clothing,2024-05-21,51+
236,56,109239,Clothing,2024-02-28,51+
237,79,76514,Furniture,2023-09-27,51+
240,74,60105,Electronics,2024-12-27,51+
242,79,94323,Groceries,2023-03-24,51+
243,74,88067,Electronics,2024-09-13,51+
244,69,79376,Furniture,2024-03-01,51+
246,58,66976,Toys,2024-12-13,51+
248,56,108477,Groceries,2023-06-22,51+
