id,age,income,category,purchase_date,age_group
7,78,102474,Clothing,2024-05-04,51+
14,28,30384,Clothing,2024-07-26,19-35
27,55,99172,Clothing,2024-07-30,51+
32,29,43456,Clothing,2023-02-26,19-35
33,75,86397,Clothing,2023-03-07,51+
49,79,73125,Clothing,2023-02-01,51+
50,68,79922,Clothing,2024-01-26,51+
53,69,72944,Clothing,2023-06-03,51+
61,56,49758,Clothing,2024-12-26,51+
62,35,45254,Clothing,2024-09-19,19-35
63,21,74238,Clothing,2024-08-26,19-35
64,42,31252,Clothing,2024-01-16,36-50
65,77,69764,Clothing,2024-11-10,51+
66,31,107709,Clothing,2023-02-27,19-35
67,67,67441,Clothing,2023-01-26,51+
77,24,55934,Clothing,2024-08-23,19-35
79,78,91886,Clothing,2023-06-27,51+
86,67,100390,Clothing,2023-01-08,51+
87,57,82329,Clothing,2024-05-22,51+
91,23,115392,Clothing,2024-04-29,19-35
93,59,49963,Clothing,2023-03-13,51+
100,51,42015,Clothing,2024-04-12,51+
108,25,41637,Clothing,2023-02-09,19-35
109,31,52415,Clothing,2024-04-30,19-35
116,33,105697,Clothing,2024-09-04,19-35
125,77,109252,Clothing,2023-04-19,51+
134,24,52574,Clothing,2023-09-04,19-35
139,25,49262,Clothing,2023-07-15,19-35
141,28,34432,Clothing,2024-01-17,19-35
143,34,109104,Clothing,2023-08-15,19-35
144,25,89399,Clothing,2024-12-01,19-35
146,52,80428,Clothing,2024-04-21,51+
149,22,112558,Clothing,2024-04-30,19-35
154,45,97661,Clothing,2024-01-12,36-50
158,29,45034,Clothing,2024-04-01,19-35
160,50,35122,Clothing,2024-12-28,36-50
162,72,112838,Clothing,2023-05-11,51+
171,44,103688,Clothing,2024-11-22,36-50
177,31,86793,Clothing,2023-03-16,19-35
186,26,36371,Clothing,2023-09-29,19-35
188,32,109905,Clothing,2024-04-27,19-35
190,59,103479,Clothing,2023-06-05,51+
216,45,43918,Clothing,2023-04-25,36-50
217,19,115655,Clothing,2024-10-07,19-35
221,74,34324,Clothing,2024-03-18,51+
233,72,83441,Clothing,2024-05-21,51+
236,56,109239,Clothing,2024-02-28,51+
239,18,36469,Clothing,2024-09-05,0-18
241,44,72101,Clothing,2024-10-23,36-50
245,30,75587,Clothing,2023-10-02,19-35
250,25,31828,Clothing,2024-12-18,19-35
251,44,31917,Clothing,2023-03-04,36-50
253,79,62254,Clothing,2024-09-27,51+
258,61,112180,Clothing,2023-04-30,51+
260,32,39865,Clothing,2024-11-06,19-35
262,71,69809,Clothing,2023-10-13,51+
263,49,35287,Clothing,2023-09-22,36-50
264,49,64387,Clothing,2023-11-16,36-50
266,58,31342,Clothing,2024-01-11,51+
278,66,38567,Clothing,2024-08-20,51+
280,66,95441,Clothing,2023-05-07,51+
281,73,114555,Clothing,2023-09-12,51+
293,18,116740,Clothing,2024-04-13,0-18
297,70,30077,Clothing,2023-10-03,51+
298,61,50611,Clothing,2024-11-14,51+
309,34,103340,Clothing,2023-12-09,19-35
320,50,48381,Clothing,2024-08-27,36-50
323,76,41302,Clothing,2024-06-16,51+
324,23,97506,Clothing,2024-07-03,19-35
328,37,54519,Clothing,2023-05-12,36-50
329,77,117487,Clothing,2024-03-30,51+
333,43,35408,Clothing,2023-03-17,36-50
337,49,30922,Clothing,2023-06-11,36-50
342,57,94484,Clothing,2023-09-19,51+
359,33,50103,Clothing,2023-05-22,19-35
368,65,101315,Clothing,2023-05-16,51+
370,29,44153,Clothing,2024-02-08,19-35
371,22,106325,Clothing,2024-08-24,19-35
375,72,106077,Clothing,2024-09-09,51+
379,36,103319,Clothing,2023-12-10,36-50
382,20,86942,Clothing,2024-06-12,19-35
384,41,115451,Clothing,2023-07-02,36-50
391,66,30126,Clothing,2023-11-29,51+
397,79,74327,Clothing,2024-09-11,51+
399,65,33797,Clothing,2023-11-28,51+
400,79,77882,Clothing,2024-08-06,51+
403,42,106589,Clothing,2023-09-25,36-50
405,35,66244,Clothing,2023-08-28,19-35
409,71,83173,Clothing,2023-09-07,51+
413,58,98244,Clothing,2023-06-23,51+
415,50,86264,Clothing,2024-10-31,36-50
418,31,69224,Clothing,2024-11-19,19-35
420,65,70738,Clothing,2024-10-19,51+
425,20,38577,Clothing,2024-08-16,19-35
433,72,109026,Clothing,2024-10-16,51+
439,62,76240,Clothing,2023-07-29,51+
442,25,49097,Clothing,2024-12-13,19-35
444,44,46241,Clothing,2024-07-04,36-50
452,22,51566,Clothing,2024-11-08,19-35
453,77,105452,Clothing,2024-01-22,51+
468,52,72460,Clothing,2023-10-06,51+
474,66,68258,Clothing,2023-04-17,51+
478,52,68000,Clothing,2024-03-04,51+
480,50,41485,Clothing,2023-03-14,36-50
482,78,55522,Clothing,2023-01-30,51+
485,40,82487,Clothing,2024-03-26,36-50
488,35,78770,Clothing,2023-06-21,19-35
494,20,115382,Clothing,2024-07-13,19-35
511,26,94929,Clothing,2023-07-21,19-35
516,46,105039,Clothing,2024-04-19,36-50
520,52,84771,Clothing,2023-11-21,51+
522,42,96358,Clothing,2024-11-18,36-50
525,77,36150,Clothing,2023-07-23,51+
533,25,71874,Clothing,2024-03-18,19-35
535,33,80460,Clothing,2023-03-16,19-35
541,45,115514,Clothing,2024-03-23,36-50
544,49,44596,Clothing,2023-09-19,36-50
545,40,63572,Clothing,2023-05-05,36-50
548,42,93197,Clothing,2024-04-29,36-50
554,75,78285,Clothing,2023-02-04,51+
556,66,97642,Clothing,2024-10-07,51+
558,59,67599,Clothing,2023-07-20,51+
560,32,58529,Clothing,2023-03-18,19-35
561,71,65954,Clothing,2023-02-28,51+
563,77,32573,Clothing,2024-09-29,51+
577,69,68243,Clothing,2023-12-20,51+
579,64,61653,Clothing,2023-04-19,51+
589,47,81226,Clothing,2024-01-20,36-50
594,45,76828,Clothing,2023-04-21,36-50
600,70,119563,Clothing,2023-04-14,51+
601,79,59373,Clothing,2023-08-02,51+
603,26,116145,Clothing,2023-06-14,19-35
605,70,91120,Clothing,2023-10-11,51+
627,72,97298,Clothing,2024-06-07,51+
637,31,31524,Clothing,2023-04-12,19-35
641,66,84912,Clothing,2024-02-11,51+
642,47,64008,Clothing,2024-02-03,36-50
647,29,43350,Clothing,2024-11-21,19-35
648,33,54354,Clothing,2024-12-31,19-35
652,38,116123,Clothing,2023-12-31,36-50
664,53,66408,Clothing,2024-05-08,51+
666,69,50491,Clothing,2023-10-14,51+
669,75,30338,Clothing,2024-04-24,51+
675,22,84756,Clothing,2023-11-16,19-35
677,21,88053,Clothing,2023-10-04,19-35
685,49,59711,Clothing,2023-02-26,36-50
689,29,86276,Clothing,2024-01-05,19-35
690,67,49541,Clothing,2023-09-21,51+
691,52,112310,Clothing,2023-04-23,51+
696,68,99768,Clothing,2024-08-01,51+
718,34,112050,Clothing,2023-09-17,19-35
727,68,84620,Clothing,2023-02-14,51+
730,21,57345,Clothing,2023-05-03,19-35
735,28,82393,Clothing,2024-01-10,19-35
736,46,96081,Clothing,2023-06-11,36-50
744,27,46371,Clothing,2023-01-13,19-35
745,54,75084,Clothing,2023-07-03,51+
746,26,59629,Clothing,2023-04-21,19-35
751,65,42984,Clothing,2023-08-03,51+
755,56,88606,Clothing,2024-09-21,51+
757,41,80072,Clothing,2024-07-18,36-50
759,79,33430,Clothing,2023-08-21,51+
764,72,32050,Clothing,2023-02-22,51+
766,40,54951,Clothing,2023-10-08,36-50
775,65,110688,Clothing,2023-01-10,51+
779,76,97364,Clothing,2024-07-17,51+
790,45,92211,Clothing,2023-09-17,36-50
791,31,84842,Clothing,2023-07-24,19-35
796,64,94754,Clothing,2024-09-22,51+
810,74,76600,Clothing,2023-07-28,51+
811,56,106898,Clothing,2023-12-09,51+
819,75,55425,Clothing,2024-07-30,51+
820,22,56685,Clothing,2024-09-10,19-35
823,46,37906,Clothing,2024-11-04,36-50
827,64,63660,Clothing,2023-05-21,51+
833,34,47674,Clothing,2024-11-21,19-35
834,78,113560,Clothing,2024-02-25,51+
835,55,53874,Clothing,2024-02-05,51+
839,57,118801,Clothing,2024-12-29,51+
847,46,111121,Clothing,2024-06-19,36-50
852,65,51754,Clothing,2024-12-13,51+
854,18,100831,Clothing,2024-12-23,0-18
858,24,71755,Clothing,2024-05-16,19-35
869,71,101719,Clothing,2023-01-13,51+
872,27,49623,Clothing,2023-04-10,19-35
873,43,97675,Clothing,2023-01-31,36-50
882,79,83947,Clothing,2023-06-11,51+
890,18,84302,Clothing,2024-06-23,0-18
908,62,61966,Clothing,2024-08-08,51+
913,71,93852,Clothing,2024-02-02,51+
914,38,31007,Clothing,2023-05-18,36-50
926,66,112197,Clothing,2023-07-07,51+
928,32,102595,Clothing,2023-04-29,19-35
936,40,39077,Clothing,2024-11-23,36-50
939,29,97889,Clothing,2023-06-24,19-35
941,49,67567,Clothing,2024-02-25,36-50
956,77,41745,Clothing,2024-10-08,51+
960,54,119186,Clothing,2024-04-01,51+
961,58,36540,Clothing,2023-06-09,51+
970,30,108797,Clothing,2024-10-05,19-35
971,45,82307,Clothing,2024-09-07,36-50
976,52,74413,Clothing,2023-08-14,51+
979,35,69214,Clothing,2023-03-20,19-35
983,42,78901,Clothing,2024-05-30,36-50
984,19,93416,Clothing,2024-08-24,19-35
988,67,42857,Clothing,2024-10-06,51+
990,62,106961,Clothing,2024-03-09,51+
993,73,56431,Clothing,2024-06-23,51+
