id,age,income,category,purchase_date,age_group
2,69,53833,Electronics,2024-02-29,51+
3,46,34158,Electronics,2023-06-10,36-50
17,53,77926,Electronics,2023-02-12,51+
18,57,59189,Electronics,2024-11-11,51+
22,70,39860,Electronics,2024-06-12,51+
23,19,110642,Electronics,2024-09-01,19-35
30,38,62201,Electronics,2023-01-22,36-50
36,61,75106,Electronics,2024-03-10,51+
37,42,83932,Electronics,2024-09-28,36-50
39,44,87091,Electronics,2023-03-27,36-50
42,45,67744,Electronics,2023-10-21,36-50
43,77,75543,Electronics,2024-07-24,51+
45,32,37239,Electronics,2024-09-02,19-35
48,64,91877,Electronics,2024-07-14,51+
52,72,67131,Electronics,2024-06-15,51+
54,74,103963,Electronics,2024-01-18,51+
55,20,54285,Electronics,2023-03-09,19-35
56,54,67626,Electronics,2023-08-02,51+
58,24,118464,Electronics,2024-01-11,19-35
69,26,89494,Electronics,2023-03-07,19-35
74,45,85393,Electronics,2023-08-15,36-50
75,64,103553,Electronics,2024-11-09,51+
76,77,36941,Electronics,2024-03-11,51+
89,19,69811,Electronics,2023-10-24,19-35
97,35,35569,Electronics,2023-04-14,19-35
112,74,71240,Electronics,2024-06-03,51+
121,41,117044,Electronics,2024-06-07,36-50
123,42,66668,Electronics,2023-05-09,36-50
135,26,35240,Electronics,2024-10-01,19-35
137,18,40478,Electronics,2023-05-11,0-18
156,26,46748,Electronics,2024-03-25,19-35
166,54,97067,Electronics,2023-06-05,51+
169,57,65854,Electronics,2024-02-21,51+
172,52,68518,Electronics,2024-06-29,51+
174,52,31062,Electronics,2023-11-03,51+
175,54,80448,Electronics,2023-12-04,51+
181,43,36168,Electronics,2023-09-30,36-50
192,30,111264,Electronics,2024-03-29,19-35
193,68,53275,Electronics,2023-07-20,51+
198,78,114659,Electronics,2023-07-10,51+
199,49,84553,Electronics,2024-08-01,36-50
202,54,105703,Electronics,2023-05-23,51+
208,46,57285,Electronics,2023-10-29,36-50
209,53,31605,Electronics,2024-10-15,51+
218,59,57446,Electronics,2023-09-08,51+
223,23,39111,Electronics,2023-12-20,19-35
229,47,117886,Electronics,2024-12-02,36-50
230,79,30117,Electronics,2024-06-30,51+
240,74,60105,Electronics,2024-12-27,51+
243,74,88067,Electronics,2024-09-13,51+
255,50,50128,Electronics,2024-09-24,36-50
259,41,117958,Electronics,2024-03-12,36-50
265,41,38512,Electronics,2024-11-03,36-50
267,69,93076,Electronics,2023-03-30,51+
270,66,56614,Electronics,2023-11-30,51+
272,69,72078,Electronics,2023-02-10,51+
273,29,113524,Electronics,2024-12-08,19-35
277,20,97444,Electronics,2024-09-13,19-35
282,34,103698,Electronics,2024-11-25,19-35
283,76,35415,Electronics,2023-01-16,51+
284,66,66159,Electronics,2024-04-21,51+
285,19,73925,Electronics,2023-03-03,19-35
287,45,117388,Electronics,2024-10-31,36-50
290,54,88596,Electronics,2024-07-29,51+
300,49,44060,Electronics,2024-03-20,36-50
304,21,89207,Electronics,2024-12-28,19-35
305,72,105046,Electronics,2024-04-24,51+
307,73,69711,Electronics,2023-01-08,51+
314,51,39184,Electronics,2024-08-10,51+
315,23,49096,Electronics,2023-06-23,19-35
316,39,97728,Electronics,2024-07-12,36-50
317,28,64016,Electronics,2024-06-10,19-35
325,33,71157,Electronics,2024-05-19,19-35
334,20,89379,Electronics,2024-08-01,19-35
351,67,76197,Electronics,2024-04-11,51+
372,54,42999,Electronics,2023-12-07,51+
376,26,32443,Electronics,2023-12-29,19-35
381,33,45328,Electronics,2024-07-06,19-35
388,41,94644,Electronics,2024-12-04,36-50
396,37,116066,Electronics,2023-06-17,36-50
398,52,98904,Electronics,2023-01-19,51+
401,42,43718,Electronics,2024-03-31,36-50
404,46,52116,Electronics,2024-03-20,36-50
414,53,41694,Electronics,2023-12-09,51+
419,38,43224,Electronics,2024-11-17,36-50
422,73,93731,Electronics,2024-11-03,51+
426,34,38070,Electronics,2024-04-29,19-35
428,65,87761,Electronics,2024-02-16,51+
434,39,97526,Electronics,2023-02-10,36-50
437,55,49956,Electronics,2024-03-25,51+
438,55,117895,Electronics,2023-09-23,51+
446,38,100480,Electronics,2023-03-25,36-50
447,47,76163,Electronics,2024-03-29,36-50
457,21,31759,Electronics,2023-03-22,19-35
460,34,54442,Electronics,2023-08-23,19-35
461,61,63719,Electronics,2023-11-07,51+
463,47,32079,Electronics,2023-08-01,36-50
466,70,57952,Electronics,2023-05-07,51+
483,38,95155,Electronics,2023-07-07,36-50
493,75,56399,Electronics,2023-03-16,51+
495,57,111244,Electronics,2024-11-02,51+
497,41,85106,Electronics,2024-09-03,36-50
507,43,69986,Electronics,2023-07-12,36-50
508,34,54160,Electronics,2024-07-12,19-35
512,60,103506,Electronics,2024-03-19,51+
519,43,42175,Electronics,2024-07-29,36-50
523,41,47327,Electronics,2024-09-19,36-50
527,24,46032,Electronics,2023-01-31,19-35
528,74,32198,Electronics,2024-01-23,51+
529,53,90500,Electronics,2024-09-16,51+
543,19,106918,Electronics,2024-07-16,19-35
551,78,47771,Electronics,2024-07-02,51+
562,60,57856,Electronics,2024-03-06,51+
564,54,108344,Electronics,2024-05-14,51+
566,25,90774,Electronics,2023-10-05,19-35
568,77,85029,Electronics,2023-03-10,51+
573,21,104532,Electronics,2023-12-31,19-35
574,23,111994,Electronics,2024-01-14,19-35
581,72,69952,Electronics,2024-05-11,51+
602,40,66397,Electronics,2024-10-25,36-50
607,75,51172,Electronics,2024-10-18,51+
609,18,117410,Electronics,2023-06-13,0-18
612,49,87492,Electronics,2023-04-01,36-50
616,42,54762,Electronics,2024-07-12,36-50
619,70,83302,Electronics,2024-10-22,51+
644,79,104666,Electronics,2024-12-04,51+
656,79,118929,Electronics,2023-11-25,51+
658,54,81474,Electronics,2023-12-03,51+
671,75,42254,Electronics,2023-12-15,51+
679,41,45896,Electronics,2023-07-13,36-50
680,33,85761,Electronics,2024-11-11,19-35
681,72,92552,Electronics,2024-10-25,51+
682,19,107454,Electronics,2024-06-30,19-35
683,66,57935,Electronics,2024-11-26,51+
684,45,67641,Electronics,2023-10-13,36-50
688,41,117833,Electronics,2023-01-19,36-50
698,54,110559,Electronics,2023-10-19,51+
699,29,103543,Electronics,2023-01-25,19-35
705,60,81571,Electronics,2023-07-07,51+
708,30,67265,Electronics,2023-05-07,19-35
710,48,96150,Electronics,2024-11-06,36-50
714,68,82375,Electronics,2023-04-14,51+
732,70,104859,Electronics,2024-06-11,51+
733,67,110765,Electronics,2023-03-07,51+
734,62,104038,Electronics,2024-10-18,51+
738,53,105532,Electronics,2024-10-17,51+
741,78,43919,Electronics,2023-11-18,51+
742,74,99346,Electronics,2024-03-25,51+
743,53,69974,Electronics,2024-04-18,51+
758,40,54574,Electronics,2023-11-17,36-50
760,49,42676,Electronics,2024-10-31,36-50
761,54,40816,Electronics,2024-03-12,51+
765,30,63933,Electronics,2023-11-09,19-35
772,66,87775,Electronics,2024-06-27,51+
776,42,119431,Electronics,2024-04-28,36-50
778,30,73001,Electronics,2024-07-19,19-35
786,36,110097,Electronics,2024-02-12,36-50
803,69,85554,Electronics,2024-08-13,51+
808,40,102750,Electronics,2024-12-26,36-50
812,62,92483,Electronics,2023-03-29,51+
816,56,72874,Electronics,2024-10-29,51+
822,40,58831,Electronics,2023-05-17,36-50
828,29,105758,Electronics,2023-03-24,19-35
830,27,89720,Electronics,2023-07-17,19-35
837,63,95160,Electronics,2024-04-15,51+
838,30,47602,Electronics,2023-08-06,19-35
841,26,59192,Electronics,2023-06-24,19-35
861,21,75648,Electronics,2024-07-06,19-35
864,77,114082,Electronics,2024-05-10,51+
878,62,56292,Electronics,2024-04-03,51+
888,58,98344,Electronics,2023-11-22,51+
889,56,79138,Electronics,2023-05-29,51+
892,30,108249,Electronics,2024-03-13,19-35
897,66,72534,Electronics,2023-08-23,51+
900,50,87932,Electronics,2023-11-09,36-50
901,55,63062,Electronics,2023-02-18,51+
907,49,64832,Electronics,2023-02-22,36-50
910,64,42987,Electronics,2024-06-08,51+
918,53,59257,Electronics,2024-09-05,51+
920,36,72207,Electronics,2023-07-01,36-50
934,20,93888,Electronics,2024-11-28,19-35
943,25,51195,Electronics,2024-01-26,19-35
944,55,107475,Electronics,2024-05-15,51+
946,41,51427,Electronics,2023-02-02,36-50
950,75,74064,Electronics,2023-01-12,51+
952,53,61598,Electronics,2024-12-20,51+
962,53,111958,Electronics,2023-11-27,51+
