id,age,income,category,purchase_date,age_group
4,32,92680,Groceries,2023-06-27,19-35
5,60,50309,Groceries,2024-09-20,51+
10,75,50384,Groceries,2023-10-16,51+
12,40,105880,Groceries,2024-10-25,36-50
25,61,53574,Groceries,2023-07-17,51+
26,47,53524,Groceries,2024-09-01,36-50
29,77,34809,Groceries,2024-05-28,51+
31,50,83330,Groceries,2023-04-22,36-50
35,78,64816,Groceries,2023-05-24,51+
57,68,72808,Groceries,2024-10-16,51+
59,38,83871,Groceries,2023-08-01,36-50
71,70,95215,Groceries,2023-02-13,51+
96,46,44388,Groceries,2023-08-26,36-50
98,43,99836,Groceries,2023-07-29,36-50
103,53,47144,Groceries,2024-01-21,51+
104,31,54214,Groceries,2024-01-22,19-35
105,48,110719,Groceries,2023-09-16,36-50
111,77,88243,Groceries,2023-05-09,51+
119,64,53954,Groceries,2024-06-27,51+
120,70,87108,Groceries,2024-10-10,51+
124,77,53061,Groceries,2024-07-28,51+
126,77,69749,Groceries,2024-06-16,51+
128,58,48777,Groceries,2023-09-26,51+
140,41,82796,Groceries,2024-10-27,36-50
150,59,30055,Groceries,2024-03-09,51+
153,58,103686,Groceries,2024-07-25,51+
155,24,74247,Groceries,2024-01-30,19-35
163,40,114717,Groceries,2024-08-10,36-50
164,79,85658,Groceries,2024-04-20,51+
165,41,68638,Groceries,2023-10-04,36-50
168,61,64674,Groceries,2023-07-09,51+
179,18,34632,Groceries,2023-06-25,0-18
180,22,33596,Groceries,2024-10-23,19-35
184,56,112152,Groceries,2023-10-16,51+
189,43,42910,Groceries,2023-09-05,36-50
194,49,102274,Groceries,2024-10-21,36-50
204,56,47260,Groceries,2024-06-16,51+
205,62,33812,Groceries,2023-08-15,51+
207,60,88656,Groceries,2024-09-20,51+
214,68,86138,Groceries,2023-07-26,51+
219,62,43046,Groceries,2023-08-07,51+
222,70,106323,Groceries,2024-08-25,51+
225,45,46389,Groceries,2024-07-03,36-50
226,61,71427,Groceries,2023-05-22,51+
228,37,58746,Groceries,2024-05-15,36-50
235,42,40954,Groceries,2023-10-08,36-50
242,79,94323,Groceries,2023-03-24,51+
248,56,108477,Groceries,2023-06-22,51+
254,54,77362,Groceries,2024-01-10,51+
256,68,89383,Groceries,2024-05-22,51+
257,59,95545,Groceries,2024-02-02,51+
275,56,30235,Groceries,2024-05-28,51+
276,19,72929,Groceries,2024-09-28,19-35
286,19,35951,Groceries,2024-03-07,19-35
288,71,38007,Groceries,2023-09-25,51+
289,40,71832,Groceries,2023-02-04,36-50
294,36,45524,Groceries,2024-10-22,36-50
299,43,46984,Groceries,2023-07-20,36-50
302,49,114056,Groceries,2023-02-04,36-50
306,28,59287,Groceries,2023-03-06,19-35
310,55,102101,Groceries,2024-03-06,51+
313,69,48574,Groceries,2024-03-13,51+
327,20,113122,Groceries,2023-06-28,19-35
331,53,110910,Groceries,2024-06-23,51+
332,36,101324,Groceries,2024-02-10,36-50
336,37,39446,Groceries,2023-07-13,36-50
338,24,81356,Groceries,2023-12-13,19-35
346,18,97779,Groceries,2024-07-26,0-18
347,28,49029,Groceries,2023-09-19,19-35
349,74,62265,Groceries,2023-10-10,51+
356,52,101895,Groceries,2023-04-03,51+
357,24,94435,Groceries,2024-09-12,19-35
360,43,94772,Groceries,2023-10-18,36-50
362,74,114291,Groceries,2024-11-19,51+
365,66,46478,Groceries,2023-02-18,51+
373,49,85318,Groceries,2024-12-04,36-50
380,65,47368,Groceries,2024-07-02,51+
383,37,57306,Groceries,2024-07-24,36-50
390,28,83028,Groceries,2024-10-20,19-35
393,53,57632,Groceries,2024-07-11,51+
394,55,95310,Groceries,2024-07-10,51+
402,52,64560,Groceries,2023-04-19,51+
407,35,77523,Groceries,2024-08-24,19-35
421,37,55150,Groceries,2023-11-20,36-50
427,50,38666,Groceries,2024-10-20,36-50
429,29,66368,Groceries,2023-03-25,19-35
435,63,100835,Groceries,2023-04-15,51+
436,47,75765,Groceries,2023-07-21,36-50
441,71,34757,Groceries,2023-04-28,51+
445,51,57696,Groceries,2024-06-23,51+
454,78,92823,Groceries,2023-12-16,51+
456,36,105520,Groceries,2023-09-15,36-50
465,63,89676,Groceries,2023-02-18,51+
470,58,119106,Groceries,2024-05-19,51+
473,46,94077,Groceries,2024-03-13,36-50
477,48,36645,Groceries,2024-09-02,36-50
490,59,105629,Groceries,2023-03-04,51+
491,48,82603,Groceries,2023-01-23,36-50
492,71,111974,Groceries,2023-12-26,51+
501,39,104055,Groceries,2024-03-15,36-50
504,44,115230,Groceries,2023-07-15,36-50
509,57,115595,Groceries,2023-05-28,51+
513,71,64911,Groceries,2024-02-23,51+
517,59,90535,Groceries,2023-05-06,51+
521,67,116925,Groceries,2024-01-27,51+
524,30,77057,Groceries,2024-03-15,19-35
539,40,53236,Groceries,2024-03-05,36-50
546,39,108757,Groceries,2023-09-02,36-50
552,39,59975,Groceries,2023-06-19,36-50
565,50,65367,Groceries,2023-04-19,36-50
569,61,47685,Groceries,2023-06-14,51+
575,62,86133,Groceries,2023-12-09,51+
576,49,91268,Groceries,2024-07-07,36-50
578,47,87384,Groceries,2024-02-20,36-50
583,69,108411,Groceries,2024-01-18,51+
587,77,46725,Groceries,2023-12-25,51+
590,36,111182,Groceries,2024-08-26,36-50
592,73,59402,Groceries,2024-09-28,51+
598,54,41664,Groceries,2023-09-30,51+
606,18,49250,Groceries,2024-05-31,0-18
611,51,83276,Groceries,2023-03-05,51+
620,18,53150,Groceries,2024-01-30,0-18
623,56,119399,Groceries,2024-05-31,51+
628,20,61987,Groceries,2024-08-04,19-35
630,43,42112,Groceries,2023-05-27,36-50
634,39,96017,Groceries,2024-08-04,36-50
635,74,77304,Groceries,2024-11-25,51+
636,46,62921,Groceries,2023-08-16,36-50
639,22,65111,Groceries,2024-02-21,19-35
640,64,67904,Groceries,2023-08-04,51+
643,63,30060,Groceries,2024-12-15,51+
645,69,113559,Groceries,2024-05-13,51+
646,22,85337,Groceries,2024-04-09,19-35
649,43,75186,Groceries,2023-03-23,36-50
650,43,58145,Groceries,2024-08-26,36-50
651,65,64020,Groceries,2024-11-17,51+
653,56,105186,Groceries,2023-06-12,51+
654,53,115469,Groceries,2023-02-17,51+
661,27,65772,Groceries,2023-11-19,19-35
663,22,79481,Groceries,2023-01-13,19-35
672,49,81860,Groceries,2024-12-26,36-50
674,73,31750,Groceries,2024-07-19,51+
676,62,97957,Groceries,2023-05-06,51+
678,33,100855,Groceries,2023-07-23,19-35
687,37,42182,Groceries,2023-06-12,36-50
693,50,67198,Groceries,2023-11-23,36-50
701,18,71786,Groceries,2023-01-01,0-18
703,57,66062,Groceries,2023-05-21,51+
706,61,55510,Groceries,2023-05-08,51+
707,46,49426,Groceries,2023-07-20,36-50
711,63,117312,Groceries,2024-06-30,51+
715,67,65435,Groceries,2024-06-18,51+
717,40,108945,Groceries,2024-01-19,36-50
728,58,45317,Groceries,2024-07-26,51+
729,24,37564,Groceries,2023-03-24,19-35
747,41,81184,Groceries,2024-05-22,36-50
752,53,63039,Groceries,2024-09-23,51+
753,35,115431,Groceries,2024-07-20,19-35
769,58,85619,Groceries,2023-12-03,51+
773,79,65400,Groceries,2024-03-21,51+
780,36,75028,Groceries,2024-10-21,36-50
781,66,67573,Groceries,2023-06-09,51+
782,53,30806,Groceries,2023-01-14,51+
788,26,54262,Groceries,2023-01-30,19-35
789,24,110435,Groceries,2024-12-03,19-35
792,48,86979,Groceries,2023-02-28,36-50
793,69,111470,Groceries,2024-04-15,51+
799,22,70042,Groceries,2024-09-30,19-35
801,29,112856,Groceries,2024-12-16,19-35
