id,age,income,category,purchase_date,age_group
1,56,92292,Toys,2024-03-20,51+
8,38,116704,Toys,2023-11-23,36-50
11,36,48017,Toys,2024-08-15,36-50
13,28,38702,Toys,2024-07-26,19-35
16,70,70943,Toys,2023-01-28,51+
19,41,42763,Toys,2024-02-27,36-50
20,20,48384,Toys,2024-08-20,19-35
21,39,90100,Toys,2023-06-26,36-50
24,41,80612,Toys,2024-05-08,36-50
38,66,47100,Toys,2024-11-09,51+
44,33,66187,Toys,2024-10-11,19-35
46,79,44489,Toys,2024-12-04,51+
47,79,88017,Toys,2023-08-31,51+
51,61,62049,Toys,2023-10-04,51+
60,26,49198,Toys,2023-03-20,19-35
68,75,83682,Toys,2024-03-22,51+
78,61,53386,Toys,2024-01-14,51+
80,25,105745,Toys,2024-03-02,19-35
81,64,113251,Toys,2024-12-09,51+
84,34,72318,Toys,2023-09-25,19-35
85,53,100173,Toys,2024-08-08,51+
90,79,85479,Toys,2023-06-13,51+
94,21,85123,Toys,2024-07-20,19-35
95,71,103477,Toys,2024-07-12,51+
102,79,36254,Toys,2023-09-25,51+
107,32,36090,Toys,2024-09-17,19-35
115,38,99724,Toys,2024-09-10,36-50
122,43,117505,Toys,2023-01-16,36-50
127,62,46907,Toys,2024-10-31,51+
129,46,81745,Toys,2023-06-11,36-50
130,32,111818,Toys,2023-09-17,19-35
131,62,53624,Toys,2023-04-12,51+
132,18,53321,Toys,2024-05-20,0-18
133,42,40488,Toys,2024-07-24,36-50
138,61,85645,Toys,2023-12-19,51+
142,68,94291,Toys,2024-10-06,51+
145,52,109714,Toys,2024-04-20,51+
151,56,38717,Toys,2024-10-07,51+
159,51,35126,Toys,2024-12-25,51+
161,65,48030,Toys,2023-08-14,51+
167,52,118869,Toys,2023-08-06,51+
170,39,76271,Toys,2024-11-05,36-50
176,64,36229,Toys,2023-11-10,51+
182,72,37561,Toys,2024-09-11,51+
183,31,103794,Toys,2024-10-12,19-35
191,77,107735,Toys,2023-02-16,51+
195,56,111449,Toys,2023-05-04,51+
197,69,92981,Toys,2024-10-01,51+
200,21,78447,Toys,2024-05-30,19-35
201,47,64529,Toys,2024-03-17,36-50
206,32,58024,Toys,2023-11-09,19-35
210,30,101158,Toys,2024-04-04,19-35
211,49,102303,Toys,2024-02-05,36-50
212,24,57139,Toys,2024-07-04,19-35
215,39,106125,Toys,2023-07-29,36-50
220,79,54818,Toys,2024-02-11,51+
232,75,43234,Toys,2024-06-25,51+
234,45,30846,Toys,2024-08-18,36-50
246,58,66976,Toys,2024-12-13,51+
247,20,97584,Toys,2023-10-11,19-35
249,23,72533,Toys,2023-11-23,19-35
252,26,50618,Toys,2023-03-14,19-35
268,66,49216,Toys,2024-10-15,51+
271,75,66258,Toys,2023-08-10,51+
279,54,100792,Toys,2024-09-23,51+
292,50,118861,Toys,2024-07-15,36-50
295,79,49282,Toys,2023-11-21,51+
308,76,41954,Toys,2023-10-28,51+
312,22,117062,Toys,2023-11-28,19-35
319,33,75558,Toys,2023-01-26,19-35
330,76,86819,Toys,2023-12-14,51+
335,36,55053,Toys,2024-05-06,36-50
339,69,40789,Toys,2023-12-27,51+
340,58,96656,Toys,2024-08-06,51+
343,56,62154,Toys,2023-08-02,51+
350,42,73872,Toys,2024-10-09,36-50
352,40,85180,Toys,2024-01-15,36-50
355,59,101907,Toys,2024-03-16,51+
361,65,44382,Toys,2024-03-07,51+
363,69,33756,Toys,2024-10-14,51+
366,19,69666,Toys,2023-10-29,19-35
369,79,107834,Toys,2024-07-08,51+
374,76,30814,Toys,2023-11-14,51+
378,52,105916,Toys,2023-08-21,51+
385,71,69915,Toys,2023-02-10,51+
386,73,67219,Toys,2024-07-04,51+
387,50,110879,Toys,2024-02-01,36-50
389,69,90279,Toys,2024-05-08,51+
395,57,85176,Toys,2023-01-01,51+
408,19,49256,Toys,2023-04-13,19-35
411,33,69282,Toys,2024-06-03,19-35
412,78,93374,Toys,2023-06-02,51+
417,50,87545,Toys,2024-12-27,36-50
424,24,103509,Toys,2024-02-24,19-35
431,68,71914,Toys,2023-11-28,51+
449,45,79840,Toys,2024-09-20,36-50
451,50,54917,Toys,2024-08-27,36-50
455,65,50806,Toys,2023-10-23,51+
458,52,71949,Toys,2023-09-25,51+
464,46,32717,Toys,2024-07-27,36-50
467,23,116444,Toys,2023-08-11,19-35
469,77,102847,Toys,2024-02-12,51+
471,54,48449,Toys,2023-10-21,51+
476,70,58865,Toys,2024-02-24,51+
481,69,68565,Toys,2024-09-25,51+
486,50,42342,Toys,2023-07-14,36-50
487,20,70806,Toys,2023-06-05,19-35
489,42,108623,Toys,2023-02-10,36-50
496,63,106534,Toys,2023-04-28,51+
498,67,60678,Toys,2024-01-15,51+
499,49,106218,Toys,2024-11-09,36-50
502,40,86373,Toys,2024-10-29,36-50
505,59,98836,Toys,2024-02-25,51+
506,19,102258,Toys,2024-07-21,19-35
510,50,109111,Toys,2024-10-30,36-50
514,65,117127,Toys,2024-03-02,51+
515,56,61821,Toys,2024-04-23,51+
518,72,114458,Toys,2024-01-30,51+
532,18,66220,Toys,2023-12-10,0-18
534,63,43859,Toys,2024-08-01,51+
538,68,72880,Toys,2023-06-04,51+
540,32,117955,Toys,2023-12-29,19-35
542,51,45358,Toys,2023-08-22,51+
550,79,37083,Toys,2023-05-05,51+
559,23,81920,Toys,2024-01-04,19-35
567,70,53752,Toys,2023-03-09,51+
570,61,81693,Toys,2024-05-03,51+
580,52,56657,Toys,2024-07-16,51+
582,57,52180,Toys,2023-12-07,51+
584,33,31622,Toys,2024-06-16,19-35
585,30,78756,Toys,2023-10-27,19-35
586,67,70809,Toys,2023-05-19,51+
588,59,91396,Toys,2024-05-13,51+
591,34,112565,Toys,2023-10-07,19-35
595,75,77924,Toys,2023-05-19,51+
613,79,83002,Toys,2023-04-27,51+
615,65,102355,Toys,2024-11-15,51+
617,57,41046,Toys,2023-05-20,51+
618,62,58769,Toys,2023-09-03,51+
621,33,98247,Toys,2024-05-01,19-35
622,78,34853,Toys,2024-04-20,51+
624,22,51792,Toys,2023-07-03,19-35
625,39,89129,Toys,2023-01-20,36-50
626,46,104478,Toys,2024-07-11,36-50
629,29,45850,Toys,2024-06-12,19-35
633,54,68890,Toys,2024-09-11,51+
655,50,50581,Toys,2024-05-25,36-50
659,40,99626,Toys,2023-05-27,36-50
662,71,51520,Toys,2024-03-18,51+
665,51,87134,Toys,2024-12-01,51+
667,48,31341,Toys,2024-12-20,36-50
668,27,74623,Toys,2023-04-24,19-35
673,18,41344,Toys,2024-11-13,0-18
686,44,100342,Toys,2023-10-30,36-50
692,77,74813,Toys,2024-05-02,51+
694,50,38820,Toys,2024-06-25,36-50
700,20,113441,Toys,2024-07-02,19-35
704,27,84237,Toys,2024-10-09,19-35
716,52,87132,Toys,2023-09-22,51+
719,43,32983,Toys,2024-02-18,36-50
721,46,53510,Toys,2023-03-16,36-50
724,43,86846,Toys,2023-07-07,36-50
731,75,109273,Toys,2023-12-24,51+
739,42,57788,Toys,2023-12-24,36-50
740,38,78543,Toys,2023-07-07,36-50
748,52,91916,Toys,2023-10-17,51+
749,66,103972,Toys,2023-10-22,51+
754,66,113691,Toys,2023-01-27,51+
763,66,115680,Toys,2024-02-07,51+
767,42,62413,Toys,2024-12-26,36-50
768,52,64801,Toys,2023-01-31,51+
770,47,62913,Toys,2023-07-02,36-50
777,39,104691,Toys,2024-03-31,36-50
783,29,86638,Toys,2023-06-27,19-35
787,29,78280,Toys,2023-01-22,19-35
794,36,68197,Toys,2024-04-10,36-50
798,70,107129,Toys,2023-12-20,51+
807,70,103781,Toys,2023-04-06,51+
813,70,48297,Toys,2024-01-25,51+
817,31,37657,Toys,2024-10-12,19-35
831,75,64701,Toys,2024-09-15,51+
832,61,113300,Toys,2024-07-21,51+
836,24,73642,Toys,2024-11-28,19-35
842,67,76542,Toys,2023-01-23,51+
848,54,55559,Toys,2024-06-06,51+
850,36,99669,Toys,2024-03-06,36-50
851,25,110199,Toys,2024-08-28,19-35
859,42,115956,Toys,2023-10-31,36-50
860,62,116988,Toys,2024-06-23,51+
863,23,32396,Toys,2023-10-30,19-35
865,48,49129,Toys,2024-10-19,36-50
870,56,116231,Toys,2023-07-29,51+
871,44,37314,Toys,2024-02-01,36-50
875,56,113624,Toys,2024-10-10,51+
876,79,63130,Toys,2023-11-25,51+
881,45,32469,Toys,2023-06-22,36-50
884,37,93620,Toys,2023-09-20,36-50
887,78,104553,Toys,2023-01-28,51+
891,20,77638,Toys,2024-05-02,19-35
894,79,52890,Toys,2023-12-22,51+
898,42,48787,Toys,2023-08-15,36-50
902,70,105713,Toys,2023-04-28,51+
903,23,117263,Toys,2023-02-23,19-35
905,61,105418,Toys,2024-07-18,51+
911,38,67311,Toys,2024-11-07,36-50
933,71,110395,Toys,2024-08-26,51+
938,28,106919,Toys,2024-11-29,19-35
940,27,53821,Toys,2024-11-04,19-35
945,29,117266,Toys,2024-10-26,19-35
947,45,57083,Toys,2023-02-24,36-50
948,70,117046,Toys,2024-06-02,51+
949,25,87372,Toys,2024-09-29,19-35
951,45,37813,Toys,2024-06-11,36-50
953,43,57082,Toys,2024-07-08,36-50
955,75,74569,Toys,2024-04-28,51+
957,67,56029,Toys,2023-08-16,51+
959,45,44288,Toys,2023-11-03,36-50
964,71,71846,Toys,2024-12-29,51+
967,50,53411,Toys,2023-02-14,36-50
969,37,90545,Toys,2023-02-28,36-50
975,63,82930,Toys,2024-09-01,51+
981,22,58602,Toys,2024-04-15,19-35
985,27,62196,Toys,2023-04-14,19-35
1000,66,115530,Toys,2023-07-18,51+
