ip,timestamp,method,url,protocol,status,user_agent
192.168.0.8,2025-04-01T14:42:01,GET,/contact,HTTP/1.1,500,Opera/9.80
192.168.0.8,2025-04-01T08:41:05,POST,/home,HTTP/1.1,200,Edge/91.0
192.168.0.10,2025-04-01T03:38:52,GET,/contact,HTTP/1.1,200,Opera/9.80
192.168.0.6,2025-04-01T20:56:53,GET,/home,HTTP/1.1,500,Mozilla/5.0
192.168.0.10,2025-04-01T13:35:32,GET,/,HTTP/1.1,200,Edge/91.0
192.168.0.4,2025-04-01T03:16:27,GET,/home,HTTP/1.1,200,Mozilla/5.0
192.168.0.10,2025-04-01T08:55:52,POST,/blog,HTTP/1.1,200,Opera/9.80
192.168.0.4,2025-04-01T19:45:03,POST,/blog,HTTP/1.1,200,Opera/9.80
192.168.0.8,2025-04-01T21:44:35,GET,/blog,HTTP/1.1,200,Mozilla/5.0
192.168.0.6,2025-04-01T10:01:56,GET,/about,HTTP/1.1,500,Chrome/112.0
192.168.0.2,2025-04-01T23:07:14,POST,/,HTTP/1.1,500,Chrome/112.0
192.168.0.1,2025-04-01T18:27:25,GET,/,HTTP/1.1,200,Chrome/112.0
192.168.0.2,2025-04-01T01:11:57,POST,/about,HTTP/1.1,200,Safari/537.36
192.168.0.6,2025-04-01T16:40:17,GET,/,HTTP/1.1,200,Opera/9.80
192.168.0.1,2025-04-01T10:44:55,POST,/about,HTTP/1.1,200,Edge/91.0
192.168.0.4,2025-04-01T22:34:24,POST,/about,HTTP/1.1,500,Edge/91.0
192.168.0.1,2025-04-01T00:17:11,GET,/blog,HTTP/1.1,500,Chrome/112.0
192.168.0.6,2025-04-01T09:27:54,GET,/home,HTTP/1.1,200,Edge/91.0
192.168.0.5,2025-04-01T18:02:13,POST,/home,HTTP/1.1,404,Opera/9.80
192.168.0.1,2025-04-01T06:54:57,POST,/blog,HTTP/1.1,200,Chrome/112.0
192.168.0.10,2025-04-01T09:22:16,GET,/home,HTTP/1.1,200,Chrome/112.0
192.168.0.2,2025-04-01T19:49:58,GET,/blog,HTTP/1.1,200,Safari/537.36
192.168.0.6,2025-04-01T17:51:36,GET,/home,HTTP/1.1,200,Edge/91.0
192.168.0.2,2025-04-01T14:35:49,GET,/about,HTTP/1.1,404,Mozilla/5.0
192.168.0.10,2025-04-01T12:14:17,POST,/about,HTTP/1.1,500,Mozilla/5.0
192.168.0.4,2025-04-01T04:31:04,POST,/,HTTP/1.1,200,Safari/537.36
192.168.0.6,2025-04-01T00:23:08,POST,/products,HTTP/1.1,200,Edge/91.0
192.168.0.2,2025-04-01T02:28:37,POST,/blog,HTTP/1.1,500,Opera/9.80
192.168.0.8,2025-04-01T19:31:50,POST,/home,HTTP/1.1,200,Chrome/112.0
192.168.0.8,2025-04-01T16:06:59,GET,/contact,HTTP/1.1,200,Edge/91.0
192.168.0.10,2025-04-01T22:40:11,POST,/about,HTTP/1.1,500,Chrome/112.0
192.168.0.9,2025-04-01T17:05:53,POST,/contact,HTTP/1.1,500,Edge/91.0
192.168.0.9,2025-04-01T11:21:06,GET,/blog,HTTP/1.1,500,Edge/91.0
192.168.0.5,2025-04-01T23:20:26,POST,/blog,HTTP/1.1,200,Edge/91.0
192.168.0.7,2025-04-01T03:23:02,POST,/products,HTTP/1.1,200,Chrome/112.0
192.168.0.7,2025-04-01T01:19:16,GET,/contact,HTTP/1.1,200,Edge/91.0
192.168.0.8,2025-04-01T15:23:48,GET,/about,HTTP/1.1,404,Opera/9.80
192.168.0.3,2025-04-01T19:48:24,POST,/contact,HTTP/1.1,500,Safari/537.36
192.168.0.7,2025-04-01T11:46:34,POST,/about,HTTP/1.1,200,Safari/537.36
192.168.0.5,2025-04-01T19:06:51,GET,/home,HTTP/1.1,500,Mozilla/5.0
192.168.0.10,2025-04-01T02:23:46,POST,/about,HTTP/1.1,200,Mozilla/5.0
192.168.0.10,2025-04-01T18:51:37,GET,/contact,HTTP/1.1,500,Safari/537.36
192.168.0.9,2025-04-01T18:33:01,POST,/,HTTP/1.1,200,Opera/9.80
192.168.0.10,2025-04-01T05:32:44,POST,/blog,HTTP/1.1,500,Chrome/112.0
192.168.0.4,2025-04-01T07:06:23,GET,/,HTTP/1.1,200,Mozilla/5.0
192.168.0.9,2025-04-01T21:26:04,GET,/blog,HTTP/1.1,404,Opera/9.80
192.168.0.7,2025-04-01T21:35:40,GET,/home,HTTP/1.1,200,Mozilla/5.0
192.168.0.10,2025-04-01T20:29:44,POST,/home,HTTP/1.1,200,Chrome/112.0
192.168.0.2,2025-04-01T07:45:46,GET,/products,HTTP/1.1,200,Edge/91.0
192.168.0.10,2025-04-01T07:56:03,GET,/,HTTP/1.1,200,Mozilla/5.0
192.168.0.6,2025-04-01T20:36:57,GET,/contact,HTTP/1.1,500,Opera/9.80
192.168.0.5,2025-04-01T01:44:17,GET,/contact,HTTP/1.1,200,Opera/9.80
192.168.0.10,2025-04-01T09:59:03,GET,/,HTTP/1.1,200,Safari/537.36
192.168.0.2,2025-04-01T19:29:44,GET,/,HTTP/1.1,200,Mozilla/5.0
192.168.0.10,2025-04-01T16:38:45,GET,/blog,HTTP/1.1,200,Chrome/112.0
192.168.0.3,2025-04-01T16:20:12,GET,/about,HTTP/1.1,200,Edge/91.0
192.168.0.5,2025-04-01T08:15:58,POST,/,HTTP/1.1,404,Mozilla/5.0
192.168.0.9,2025-04-01T09:28:36,GET,/contact,HTTP/1.1,404,Edge/91.0
192.168.0.5,2025-04-01T19:00:14,GET,/about,HTTP/1.1,200,Chrome/112.0
192.168.0.1,2025-04-01T14:17:19,POST,/home,HTTP/1.1,404,Safari/537.36
192.168.0.5,2025-04-01T10:45:14,POST,/blog,HTTP/1.1,404,Safari/537.36
192.168.0.3,2025-04-01T15:23:53,GET,/about,HTTP/1.1,200,Mozilla/5.0
192.168.0.7,2025-04-01T02:35:07,GET,/,HTTP/1.1,404,Edge/91.0
192.168.0.9,2025-04-01T03:38:16,POST,/products,HTTP/1.1,404,Edge/91.0
