view_id,customer_id,product_id,view_date,category,device_type
1,87,46,2025-01-03,Books,desktop
2,117,12,2024-05-20,Electronics,mobile
3,362,70,2024-10-07,Home,desktop
4,342,17,2024-12-11,Electronics,tablet
5,469,19,2024-12-08,Clothing,mobile
6,27,26,2024-05-28,Toys,desktop
7,313,48,2024-07-28,Clothing,desktop
8,287,52,2025-02-23,Electronics,mobile
9,134,96,2024-09-17,Books,mobile
10,219,70,2024-07-16,Toys,mobile
11,168,55,2024-10-28,Clothing,mobile
12,98,100,2024-09-06,Home,tablet
13,268,75,2025-02-14,Books,mobile
14,237,33,2025-01-25,Clothing,tablet
15,309,62,2024-07-17,Home,tablet
16,455,88,2025-01-08,Electronics,mobile
17,394,23,2025-02-16,Home,tablet
18,173,15,2024-05-21,Clothing,mobile
19,401,27,2024-09-12,Clothing,mobile
20,410,75,2025-02-02,Electronics,desktop
21,469,64,2025-03-10,Home,mobile
22,476,81,2024-05-26,Home,desktop
23,190,51,2024-11-01,Electronics,tablet
24,122,53,2024-07-10,Home,desktop
25,46,78,2024-08-17,Electronics,tablet
26,64,91,2024-07-13,Books,mobile
27,130,82,2024-06-18,Clothing,tablet
28,310,92,2024-10-15,Books,tablet
29,363,51,2024-05-11,Toys,mobile
30,193,47,2024-09-29,Toys,tablet
31,307,4,2024-10-08,Toys,mobile
32,181,7,2024-06-02,Electronics,desktop
33,292,35,2024-08-11,Home,mobile
34,371,48,2025-01-26,Books,mobile
35,282,73,2025-01-15,Books,tablet
36,29,72,2024-11-25,Books,desktop
37,149,45,2024-08-24,Books,mobile
38,267,81,2025-04-14,Toys,desktop
39,296,81,2025-01-05,Books,desktop
40,11,97,2024-04-24,Home,tablet
41,164,96,2024-10-31,Toys,mobile
42,113,72,2025-01-17,Books,tablet
43,187,19,2025-01-30,Electronics,mobile
44,295,63,2024-06-20,Clothing,desktop
45,232,38,2024-06-01,Clothing,mobile
46,227,67,2024-06-29,Clothing,mobile
47,310,59,2024-11-20,Toys,desktop
48,98,69,2024-07-10,Books,desktop
49,55,13,2024-11-02,Toys,mobile
50,111,47,2025-01-16,Home,tablet
51,152,61,2024-11-12,Electronics,mobile
52,246,31,2024-11-20,Electronics,desktop
53,406,80,2024-09-29,Clothing,tablet
54,69,96,2024-12-09,Clothing,desktop
55,312,22,2024-05-03,Clothing,desktop
56,289,93,2024-04-30,Books,tablet
57,250,86,2024-07-09,Home,desktop
58,36,43,2024-11-22,Home,desktop
59,239,67,2025-01-23,Home,desktop
60,148,54,2025-04-09,Home,desktop
61,467,10,2024-04-22,Clothing,desktop
62,227,42,2024-04-18,Electronics,desktop
63,244,64,2024-11-24,Clothing,desktop
64,491,21,2024-12-29,Home,desktop
65,337,80,2025-04-08,Clothing,desktop
66,446,76,2024-06-19,Home,mobile
67,365,66,2024-11-16,Toys,mobile
68,491,41,2024-09-16,Electronics,desktop
69,482,24,2024-06-28,Toys,mobile
70,201,35,2024-05-17,Books,tablet
71,154,56,2024-04-24,Clothing,mobile
72,450,30,2024-05-02,Books,desktop
73,73,57,2024-04-25,Clothing,desktop
74,201,94,2025-02-26,Toys,mobile
75,296,47,2024-12-02,Home,desktop
76,17,35,2024-04-18,Home,tablet
77,129,19,2024-10-27,Clothing,tablet
78,217,8,2024-05-05,Home,desktop
79,61,26,2024-09-07,Toys,tablet
80,427,71,2024-10-16,Home,tablet
81,104,30,2024-10-26,Toys,mobile
82,42,7,2024-10-03,Books,tablet
83,25,67,2025-03-26,Toys,mobile
84,39,65,2024-10-19,Electronics,desktop
85,291,36,2024-11-10,Electronics,mobile
86,131,25,2024-06-02,Electronics,desktop
87,498,37,2025-03-31,Clothing,desktop
88,229,1,2025-01-31,Clothing,desktop
89,108,15,2024-08-11,Clothing,desktop
90,172,37,2024-04-21,Toys,desktop
91,435,13,2024-04-29,Clothing,mobile
92,478,8,2024-05-29,Books,desktop
93,102,5,2024-08-05,Electronics,tablet
94,354,60,2024-09-06,Toys,tablet
95,12,73,2024-10-18,Electronics,desktop
96,275,1,2024-11-10,Clothing,tablet
97,101,36,2024-06-12,Toys,mobile
98,44,35,2024-06-18,Home,mobile
99,443,66,2024-12-11,Books,desktop
100,305,63,2024-08-10,Clothing,desktop
101,445,23,2024-08-03,Clothing,desktop
102,17,9,2024-06-27,Books,tablet
103,330,34,2024-10-18,Books,tablet
104,57,46,2024-07-25,Home,mobile
105,311,78,2024-12-18,Clothing,tablet
106,497,4,2025-04-10,Clothing,mobile
107,303,30,2024-05-08,Electronics,tablet
108,12,95,2025-03-20,Toys,mobile
109,318,75,2025-03-31,Toys,desktop
110,80,99,2024-08-17,Electronics,tablet
111,216,72,2025-03-10,Toys,mobile
112,339,3,2024-11-25,Books,tablet
113,264,14,2025-02-14,Toys,desktop
114,479,60,2024-10-24,Toys,mobile
115,149,77,2024-08-31,Electronics,tablet
116,81,45,2024-09-01,Home,tablet
117,215,96,2024-11-21,Toys,desktop
118,485,34,2024-07-04,Toys,desktop
119,374,45,2024-12-13,Home,mobile
120,464,61,2025-02-24,Electronics,tablet
121,198,83,2025-01-12,Home,tablet
122,200,16,2024-06-16,Electronics,desktop
123,25,66,2025-02-05,Books,desktop
124,466,40,2024-12-11,Electronics,mobile
125,89,17,2024-11-13,Books,tablet
126,268,34,2025-01-13,Books,tablet
127,143,16,2024-06-03,Electronics,mobile
128,59,60,2024-06-03,Clothing,mobile
129,410,66,2024-06-02,Electronics,desktop
130,489,66,2025-02-22,Toys,desktop
131,365,90,2025-03-16,Toys,mobile
132,26,13,2024-05-24,Clothing,mobile
133,47,56,2024-05-09,Books,tablet
134,288,31,2024-09-24,Clothing,mobile
135,266,34,2024-05-21,Toys,mobile
136,16,39,2024-12-26,Clothing,tablet
137,199,67,2025-01-02,Electronics,mobile
138,401,8,2024-11-11,Clothing,desktop
139,407,87,2025-03-30,Books,desktop
140,282,78,2024-08-16,Electronics,tablet
141,469,55,2025-03-15,Home,mobile
142,86,27,2024-09-07,Toys,desktop
143,250,93,2024-08-24,Toys,desktop
144,391,53,2024-11-16,Clothing,desktop
145,270,39,2024-11-10,Electronics,desktop
146,335,65,2024-04-20,Home,mobile
147,117,17,2025-04-02,Electronics,mobile
148,7,30,2024-10-10,Toys,mobile
149,137,53,2024-11-19,Electronics,mobile
150,371,13,2025-01-09,Home,desktop
151,176,21,2024-10-13,Clothing,tablet
152,328,19,2024-11-06,Books,tablet
153,498,53,2024-09-10,Electronics,desktop
154,315,19,2024-08-04,Books,desktop
155,215,57,2025-02-02,Toys,tablet
156,477,25,2025-03-29,Clothing,tablet
157,82,86,2024-06-12,Clothing,desktop
158,223,31,2025-03-08,Electronics,desktop
159,478,81,2025-03-07,Clothing,mobile
160,372,55,2025-01-09,Electronics,mobile
161,423,23,2024-05-25,Electronics,tablet
162,483,32,2025-03-10,Books,desktop
163,402,62,2024-05-24,Clothing,tablet
164,443,74,2025-01-11,Electronics,mobile
165,490,10,2024-11-26,Books,mobile
166,103,100,2024-04-30,Home,tablet
167,273,72,2025-02-28,Books,mobile
168,14,54,2024-04-22,Books,desktop
169,159,52,2024-06-27,Electronics,tablet
170,152,20,2025-03-23,Toys,desktop
171,483,32,2024-09-20,Toys,desktop
172,108,14,2024-07-07,Toys,mobile
173,188,50,2024-05-15,Books,desktop
174,301,28,2024-10-01,Electronics,tablet
175,98,53,2025-01-18,Clothing,desktop
176,131,24,2025-03-27,Books,desktop
177,293,79,2025-03-21,Books,desktop
178,171,22,2024-07-09,Electronics,desktop
179,424,30,2024-07-16,Home,desktop
180,474,63,2024-11-24,Books,mobile
181,183,4,2024-08-28,Home,tablet
182,471,77,2024-05-04,Home,mobile
183,364,59,2024-10-24,Toys,tablet
184,39,87,2024-07-16,Electronics,tablet
185,15,8,2025-04-03,Home,tablet
186,376,82,2025-02-03,Electronics,tablet
187,497,12,2024-08-07,Toys,tablet
188,4,31,2025-04-03,Electronics,desktop
189,349,78,2025-03-23,Books,mobile
190,470,34,2025-02-16,Home,mobile
191,409,82,2024-05-03,Electronics,desktop
192,397,98,2024-08-02,Clothing,tablet
193,210,75,2025-03-17,Electronics,mobile
194,161,76,2025-01-23,Home,desktop
195,16,49,2024-11-02,Toys,desktop
196,493,79,2024-05-03,Toys,mobile
197,426,57,2024-10-28,Home,mobile
198,108,95,2024-09-18,Books,tablet
199,382,93,2024-07-10,Books,tablet
200,450,26,2024-11-16,Toys,mobile
201,311,18,2024-06-21,Toys,tablet
202,227,96,2024-12-06,Home,desktop
203,170,86,2024-05-04,Books,tablet
204,34,38,2024-11-03,Toys,tablet
205,414,81,2024-10-21,Books,desktop
206,251,87,2024-09-17,Toys,tablet
207,247,88,2024-09-09,Electronics,desktop
208,269,50,2025-03-19,Clothing,tablet
209,141,8,2024-08-02,Electronics,mobile
210,274,41,2024-05-07,Toys,tablet
211,416,6,2024-08-18,Clothing,mobile
212,96,69,2024-09-04,Clothing,mobile
213,227,44,2025-03-30,Toys,mobile
214,379,64,2025-04-10,Toys,mobile
215,39,29,2024-05-19,Books,mobile
216,302,28,2025-02-07,Toys,desktop
217,500,11,2024-06-05,Home,desktop
218,29,65,2024-12-05,Toys,desktop
219,446,19,2024-06-30,Home,mobile
220,497,9,2025-01-29,Toys,tablet
221,477,27,2024-10-08,Books,desktop
222,318,34,2025-02-26,Home,tablet
223,245,44,2024-05-24,Electronics,tablet
224,236,68,2024-08-06,Home,mobile
225,185,100,2025-01-19,Books,mobile
226,272,82,2024-05-25,Home,mobile
227,440,15,2024-08-28,Toys,desktop
228,236,51,2024-04-27,Toys,mobile
229,239,13,2024-07-09,Books,desktop
230,377,83,2025-01-06,Clothing,desktop
231,266,49,2025-02-20,Toys,desktop
232,414,70,2024-04-17,Electronics,desktop
233,409,56,2024-07-12,Books,mobile
234,359,76,2025-02-26,Home,desktop
235,340,51,2024-05-18,Home,mobile
236,389,37,2024-06-11,Electronics,mobile
237,65,17,2025-02-10,Toys,desktop
238,478,58,2025-04-10,Books,mobile
239,177,87,2025-01-11,Electronics,tablet
240,3,90,2025-02-22,Toys,mobile
241,429,29,2024-10-02,Books,mobile
242,142,33,2024-08-11,Home,desktop
243,376,60,2024-11-13,Books,desktop
244,158,91,2025-02-11,Clothing,mobile
245,498,89,2024-05-14,Books,desktop
246,324,55,2024-09-19,Clothing,tablet
247,146,10,2025-02-14,Books,tablet
248,446,47,2025-03-03,Clothing,desktop
249,293,23,2024-08-17,Home,mobile
250,153,85,2024-09-24,Toys,tablet
251,432,21,2024-12-28,Clothing,tablet
252,193,13,2025-03-09,Clothing,mobile
253,437,33,2024-07-24,Home,desktop
254,494,24,2024-04-21,Clothing,tablet
255,463,11,2024-05-04,Electronics,mobile
256,73,17,2024-07-23,Home,mobile
257,399,68,2024-05-12,Electronics,tablet
258,305,47,2024-11-08,Home,desktop
259,377,25,2024-12-21,Clothing,tablet
260,344,94,2025-01-21,Electronics,mobile
261,452,73,2025-04-09,Clothing,tablet
262,140,21,2024-05-03,Home,desktop
263,187,84,2024-09-22,Clothing,mobile
264,293,83,2024-12-13,Electronics,desktop
265,61,83,2025-03-30,Electronics,tablet
266,485,12,2024-09-04,Clothing,tablet
267,427,37,2024-07-08,Books,desktop
268,380,42,2024-08-31,Home,tablet
269,198,17,2025-03-20,Home,desktop
270,295,48,2024-04-27,Clothing,tablet
271,440,28,2025-02-07,Books,desktop
272,319,41,2025-02-25,Electronics,desktop
273,302,99,2025-04-04,Toys,mobile
274,344,47,2024-07-19,Toys,mobile
275,11,18,2024-05-29,Clothing,desktop
276,62,78,2024-10-18,Books,tablet
277,333,99,2024-11-05,Books,tablet
278,226,71,2024-12-04,Home,tablet
279,153,13,2024-10-07,Electronics,desktop
280,199,82,2024-09-19,Books,desktop
281,52,13,2024-12-10,Toys,desktop
282,260,100,2024-08-24,Electronics,desktop
283,59,31,2024-10-04,Electronics,mobile
284,72,2,2025-02-13,Clothing,desktop
285,148,16,2024-05-13,Books,tablet
286,349,9,2025-01-21,Clothing,mobile
287,63,73,2025-01-21,Books,tablet
288,310,38,2024-09-27,Home,desktop
289,373,75,2025-01-05,Clothing,mobile
290,243,54,2024-04-26,Clothing,desktop
291,493,56,2024-08-16,Toys,mobile
292,366,86,2024-04-27,Clothing,tablet
293,330,97,2024-06-15,Books,desktop
294,107,100,2025-03-31,Toys,desktop
295,226,87,2024-08-01,Clothing,mobile
296,313,45,2025-04-14,Clothing,mobile
297,218,34,2024-08-08,Home,desktop
298,425,9,2024-08-25,Clothing,mobile
299,241,88,2024-07-27,Electronics,desktop
300,259,8,2024-12-17,Toys,mobile
301,376,7,2024-12-15,Electronics,tablet
302,262,36,2025-04-16,Toys,mobile
303,5,18,2024-08-02,Home,tablet
304,261,3,2024-08-02,Clothing,mobile
305,54,28,2024-10-24,Clothing,mobile
306,47,70,2024-05-11,Clothing,desktop
307,215,44,2024-11-30,Toys,mobile
308,177,21,2024-05-26,Clothing,mobile
309,9,28,2025-02-10,Electronics,tablet
310,99,54,2024-09-07,Clothing,mobile
311,20,54,2024-12-20,Home,desktop
312,378,65,2024-04-27,Electronics,tablet
313,241,100,2024-10-01,Clothing,desktop
314,61,21,2024-09-15,Clothing,desktop
315,379,99,2024-11-04,Books,desktop
316,490,13,2024-10-30,Toys,desktop
317,419,57,2024-06-26,Electronics,tablet
318,178,49,2024-09-10,Books,mobile
319,338,54,2024-07-06,Home,desktop
320,62,10,2025-01-28,Toys,tablet
321,145,53,2025-01-31,Electronics,desktop
322,216,44,2024-12-13,Clothing,mobile
323,3,47,2025-03-02,Electronics,tablet
324,160,53,2025-01-03,Clothing,tablet
325,227,74,2025-03-21,Toys,mobile
326,486,46,2024-08-19,Clothing,tablet
327,269,13,2024-12-24,Home,mobile
328,120,37,2024-07-18,Clothing,tablet
329,381,24,2024-11-15,Home,tablet
330,495,2,2024-08-24,Toys,mobile
331,89,86,2024-05-23,Toys,mobile
332,329,81,2024-08-26,Electronics,tablet
333,68,100,2025-01-06,Home,tablet
334,398,14,2024-11-04,Home,mobile
335,357,10,2024-04-29,Books,mobile
336,98,35,2024-12-10,Books,tablet
337,267,25,2025-03-29,Books,tablet
338,105,3,2024-09-28,Clothing,tablet
339,440,17,2024-08-01,Books,mobile
340,323,12,2024-04-30,Home,tablet
341,123,54,2025-02-16,Clothing,desktop
342,476,24,2025-02-06,Toys,mobile
343,29,29,2024-10-21,Electronics,tablet
344,137,43,2025-01-28,Books,mobile
345,195,25,2024-12-02,Toys,desktop
346,409,100,2025-04-12,Home,mobile
347,226,60,2025-01-14,Electronics,tablet
348,332,90,2025-04-13,Toys,desktop
349,170,65,2024-08-12,Electronics,desktop
350,9,84,2024-11-08,Books,tablet
351,463,28,2024-08-06,Home,tablet
352,40,16,2025-01-03,Electronics,tablet
353,25,47,2024-11-14,Toys,mobile
354,261,81,2024-06-04,Books,mobile
355,395,92,2024-05-24,Books,mobile
356,443,58,2025-03-28,Toys,tablet
357,226,76,2024-11-02,Toys,tablet
358,472,27,2025-03-27,Electronics,mobile
359,124,53,2024-06-12,Clothing,desktop
360,463,42,2024-06-09,Books,mobile
361,38,59,2024-10-03,Electronics,desktop
362,328,47,2025-03-14,Toys,tablet
363,251,94,2024-12-29,Electronics,tablet
364,389,34,2024-08-03,Toys,mobile
365,176,37,2024-12-08,Home,mobile
366,90,6,2025-03-19,Toys,tablet
367,402,7,2024-04-19,Toys,mobile
368,454,96,2024-06-21,Toys,tablet
369,37,96,2024-04-28,Clothing,tablet
370,316,25,2024-08-29,Toys,desktop
371,176,33,2024-06-21,Books,mobile
372,461,55,2025-03-12,Books,tablet
373,284,58,2024-09-14,Electronics,mobile
374,453,7,2024-07-23,Clothing,desktop
375,461,57,2024-04-19,Electronics,desktop
376,81,12,2024-11-18,Books,mobile
377,114,16,2024-08-23,Books,mobile
378,40,80,2025-01-24,Home,tablet
379,301,43,2024-08-14,Toys,desktop
380,224,100,2024-11-27,Books,desktop
381,318,77,2025-03-15,Electronics,desktop
382,349,7,2024-05-13,Electronics,mobile
383,115,100,2024-05-16,Toys,tablet
384,186,51,2024-11-02,Toys,mobile
385,323,73,2025-03-27,Home,mobile
386,56,32,2025-03-03,Clothing,mobile
387,40,75,2025-01-12,Electronics,tablet
388,354,8,2024-04-26,Toys,mobile
389,40,97,2024-12-02,Electronics,desktop
390,347,87,2024-12-02,Toys,desktop
391,461,89,2024-06-05,Books,desktop
392,237,72,2024-09-28,Electronics,tablet
393,289,45,2024-10-16,Books,mobile
394,262,86,2024-11-21,Electronics,tablet
395,216,59,2024-06-21,Clothing,mobile
396,147,4,2024-05-14,Home,desktop
397,336,67,2024-10-08,Books,mobile
398,168,29,2025-03-07,Toys,mobile
399,92,29,2024-09-25,Clothing,mobile
400,353,98,2024-08-14,Electronics,tablet
401,59,98,2025-03-30,Books,mobile
402,59,28,2024-06-15,Electronics,mobile
403,304,77,2025-04-05,Electronics,mobile
404,169,79,2025-02-20,Electronics,tablet
405,269,87,2024-10-09,Home,tablet
406,363,44,2025-01-18,Home,tablet
407,45,90,2024-12-07,Toys,mobile
408,345,4,2025-01-08,Books,desktop
409,181,90,2024-09-24,Clothing,desktop
410,170,9,2024-07-19,Clothing,desktop
411,356,5,2024-11-17,Clothing,mobile
412,191,56,2024-12-20,Electronics,desktop
413,155,96,2024-06-10,Home,desktop
414,422,84,2024-09-13,Books,desktop
415,188,50,2025-01-17,Electronics,mobile
416,7,75,2025-02-22,Home,desktop
417,133,15,2024-08-22,Home,desktop
418,235,32,2025-03-03,Books,mobile
419,45,28,2024-07-31,Books,tablet
420,314,22,2024-05-15,Books,desktop
421,249,17,2024-10-07,Electronics,tablet
422,499,59,2025-01-17,Toys,desktop
423,31,90,2025-01-03,Books,mobile
424,23,71,2024-07-20,Toys,tablet
425,426,57,2024-11-04,Electronics,tablet
426,394,26,2024-05-29,Toys,tablet
427,160,25,2024-08-24,Clothing,tablet
428,363,10,2024-10-20,Toys,desktop
429,437,45,2024-12-23,Books,desktop
430,158,83,2025-01-21,Electronics,tablet
431,39,11,2024-07-21,Books,desktop
432,415,77,2025-01-25,Clothing,tablet
433,82,53,2024-07-11,Books,tablet
434,356,72,2024-09-06,Books,mobile
435,258,68,2024-05-18,Books,tablet
436,206,95,2024-04-30,Home,desktop
437,77,28,2024-11-29,Clothing,tablet
438,477,75,2024-10-28,Books,mobile
439,12,65,2024-11-18,Books,desktop
440,295,49,2024-04-24,Books,mobile
441,450,47,2025-04-15,Electronics,mobile
442,224,52,2024-08-18,Home,tablet
443,13,88,2025-02-26,Electronics,mobile
444,46,54,2025-04-03,Home,mobile
445,155,60,2024-12-10,Books,desktop
446,113,57,2024-11-15,Clothing,mobile
447,233,47,2024-06-16,Toys,tablet
448,17,31,2024-08-28,Toys,tablet
449,360,46,2024-11-12,Books,tablet
450,223,26,2024-11-24,Electronics,mobile
451,354,5,2024-10-23,Clothing,desktop
452,188,84,2024-10-23,Home,tablet
453,448,52,2025-01-26,Books,mobile
454,344,75,2024-05-25,Clothing,tablet
455,365,54,2024-05-25,Clothing,tablet
456,163,33,2024-09-24,Home,desktop
457,496,50,2024-08-18,Clothing,tablet
458,326,38,2024-04-29,Electronics,desktop
459,467,27,2024-07-03,Electronics,mobile
460,414,98,2024-11-11,Electronics,tablet
461,455,15,2024-10-17,Clothing,mobile
462,74,96,2025-03-15,Electronics,mobile
463,233,61,2024-06-04,Home,mobile
464,224,21,2024-12-01,Clothing,tablet
465,482,46,2024-12-25,Toys,desktop
466,319,69,2024-06-04,Clothing,tablet
467,412,6,2024-08-09,Home,mobile
468,60,38,2024-11-12,Toys,desktop
469,335,62,2024-08-01,Clothing,mobile
470,222,86,2024-11-22,Electronics,desktop
471,37,62,2025-03-24,Books,tablet
472,477,82,2024-08-19,Books,desktop
473,278,78,2024-08-15,Electronics,tablet
474,196,74,2024-08-02,Books,mobile
475,404,46,2025-01-24,Books,desktop
476,352,13,2025-03-13,Electronics,mobile
477,484,95,2024-07-12,Electronics,desktop
478,242,94,2025-01-09,Clothing,tablet
479,324,3,2024-09-02,Clothing,desktop
480,219,94,2024-06-13,Electronics,desktop
481,192,6,2024-12-14,Home,tablet
482,17,93,2024-08-02,Books,tablet
483,12,8,2024-10-10,Clothing,tablet
484,406,44,2024-09-05,Books,desktop
485,401,33,2024-07-01,Toys,mobile
486,394,81,2024-06-19,Electronics,desktop
487,374,75,2025-02-17,Home,desktop
488,193,77,2024-05-15,Toys,mobile
489,22,50,2024-12-20,Toys,tablet
490,474,11,2025-01-10,Toys,desktop
491,120,95,2024-05-16,Electronics,mobile
492,210,28,2025-02-24,Clothing,tablet
493,306,70,2024-09-26,Electronics,tablet
494,270,41,2024-11-23,Clothing,desktop
495,192,16,2024-10-20,Toys,tablet
496,175,68,2024-12-10,Toys,tablet
497,285,99,2024-11-12,Home,mobile
498,204,48,2024-09-29,Clothing,mobile
499,164,56,2024-04-20,Toys,tablet
500,251,64,2024-05-14,Books,mobile
501,227,59,2024-07-17,Home,tablet
502,436,90,2024-09-12,Electronics,desktop
503,381,62,2025-01-16,Home,mobile
504,460,76,2024-04-28,Books,tablet
505,7,11,2024-07-21,Clothing,tablet
506,29,89,2024-07-04,Electronics,mobile
507,395,18,2024-07-24,Electronics,mobile
508,33,19,2025-04-03,Clothing,desktop
509,134,87,2024-09-18,Home,tablet
510,367,55,2025-03-19,Toys,desktop
511,79,82,2024-06-24,Home,desktop
512,416,26,2024-09-27,Books,desktop
513,435,6,2024-08-17,Toys,mobile
514,459,4,2024-08-24,Home,desktop
515,58,29,2025-03-16,Clothing,mobile
516,471,59,2025-02-20,Books,mobile
517,26,98,2024-07-27,Books,desktop
518,482,17,2024-06-11,Books,desktop
519,430,43,2024-09-13,Toys,tablet
520,226,80,2025-03-09,Electronics,desktop
521,285,66,2025-02-09,Toys,tablet
522,4,34,2024-06-01,Home,desktop
523,465,8,2024-07-27,Electronics,desktop
524,99,13,2024-05-25,Home,desktop
525,397,8,2025-01-17,Electronics,desktop
526,489,94,2025-01-26,Toys,tablet
527,39,96,2024-06-27,Books,tablet
528,271,100,2024-10-02,Clothing,desktop
529,375,94,2024-09-27,Books,desktop
530,285,65,2025-04-03,Toys,tablet
531,157,43,2025-02-22,Electronics,mobile
